Serial Number,AOI (MM:SS),ASSY1 (MM:SS),ASSY2 (MM:SS),Assembley (MM:SS),BAT (MM:SS),BAT_REPAIR (MM:SS),BBD (MM:SS),BBD_REPAIR (MM:SS),BIT (MM:SS),BIT_REPAIR (MM:SS),CHARGING (MM:SS),CHIFLASH (MM:SS),CHIFLASH_REPAIR (MM:SS),DEBUG (MM:SS),Disassembly (MM:SS),EFT (MM:SS),EFT_REPAIR (MM:SS),FCT (MM:SS),FCT_REPAIR (MM:SS),FI (MM:SS),FI_REPAIR (MM:SS),FLA (MM:SS),FLA_REPAIR (MM:SS),FLB (MM:SS),FLC (MM:SS),FLC_REPAIR (MM:SS),FPF (MM:SS),FPF_REPAIR (MM:SS),FQC (MM:SS),FQC_REPAIR (MM:SS),HPT (MM:SS),IST (MM:SS),IST2 (MM:SS),IST_REPAIR (MM:SS),OQA (MM:SS),OQA_REPAIR (MM:SS),OS Install (MM:SS),PACKING (MM:SS),PHT (MM:SS),PHT_REPAIR (MM:SS),PT2 (MM:SS),PT2_REPAIR (MM:SS),PT3 (MM:SS),PT3_REPAIR (MM:SS),RECEIVE (MM:SS),RIN (MM:SS),RIN_REPAIR (MM:SS),SHIPPING (MM:SS),TPC (MM:SS),UPGRADE (MM:SS),VI1 (MM:SS),VI1_REPAIR (MM:SS),VI2 (MM:SS),VI2_REPAIR (MM:SS),VI3 (MM:SS),Warehouse (MM:SS)
1.65512E+12,N/A,N/A,0:01,0:32,0:18,N/A,0:02,N/A,0:37,N/A,N/A,1:04,N/A,N/A,0:10,0:40,N/A,2:47,N/A,0:00,N/A,0:06,N/A,0:05,0:08,N/A,0:13,N/A,0:03,N/A,N/A,0:21,N/A,N/A,N/A,N/A,N/A,0:00,1:09,N/A,N/A,N/A,N/A,N/A,0:00,N/A,N/A,0:36,N/A,0:09,0:05,N/A,0:00,N/A,N/A,N/A
1.65182E+12,N/A,N/A,0:01,0:01,0:18,N/A,0:01,N/A,0:37,N/A,N/A,1:03,N/A,N/A,0:00,0:40,N/A,2:47,N/A,0:00,N/A,0:06,N/A,0:05,0:08,N/A,0:13,N/A,0:07,N/A,N/A,0:29,N/A,N/A,N/A,N/A,N/A,0:00,1:08,N/A,N/A,N/A,N/A,N/A,0:00,N/A,N/A,0:36,N/A,0:07,0:02,N/A,0:00,N/A,N/A,N/A
1.65162E+12,N/A,N/A,0:01,0:00,0:14,N/A,0:02,N/A,0:34,N/A,N/A,0:04,N/A,N/A,0:00,0:34,N/A,2:44,N/A,0:00,N/A,0:08,N/A,0:05,0:08,N/A,0:07,N/A,0:07,N/A,N/A,0:17,N/A,N/A,N/A,N/A,N/A,0:00,1:04,N/A,N/A,N/A,N/A,N/A,0:00,N/A,N/A,0:36,N/A,0:06,0:05,N/A,0:00,N/A,N/A,N/A
1.65032E+12,N/A,N/A,0:01,0:00,0:18,N/A,0:02,N/A,0:37,N/A,N/A,0:59,N/A,N/A,0:00,0:40,N/A,2:48,N/A,0:00,N/A,0:08,N/A,0:05,0:08,N/A,0:13,N/A,0:04,N/A,N/A,0:29,N/A,N/A,N/A,N/A,N/A,0:00,1:08,N/A,N/A,N/A,N/A,N/A,0:00,N/A,N/A,0:36,N/A,0:15,0:02,N/A,0:00,N/A,N/A,N/A
1.65502E+12,N/A,N/A,0:00,0:00,0:14,N/A,0:00,N/A,0:35,N/A,N/A,0:03,N/A,N/A,0:00,0:34,N/A,2:44,N/A,0:01,N/A,0:06,N/A,0:03,0:06,N/A,0:07,N/A,0:07,N/A,N/A,0:21,N/A,N/A,N/A,N/A,N/A,0:00,1:04,N/A,N/A,N/A,N/A,N/A,0:00,N/A,N/A,0:36,N/A,0:07,0:04,N/A,0:00,N/A,N/A,N/A
1.65132E+12,N/A,N/A,0:00,0:03,0:14,N/A,0:00,N/A,0:34,N/A,N/A,0:06,N/A,N/A,0:00,0:34,N/A,2:44,N/A,0:04,N/A,0:07,N/A,0:03,0:06,N/A,0:07,N/A,0:04,N/A,N/A,0:22,N/A,N/A,N/A,N/A,N/A,0:00,1:04,N/A,N/A,N/A,N/A,N/A,0:01,N/A,N/A,0:36,N/A,0:18,0:02,N/A,0:00,N/A,N/A,N/A
1.65122E+12,N/A,N/A,0:00,0:02,0:19,N/A,0:02,N/A,0:37,N/A,N/A,1:04,N/A,N/A,0:08,0:40,N/A,2:47,N/A,0:01,N/A,0:08,N/A,0:05,0:08,N/A,0:13,N/A,0:04,N/A,N/A,0:21,N/A,N/A,N/A,N/A,N/A,0:00,1:07,N/A,N/A,N/A,N/A,N/A,0:00,N/A,N/A,0:36,N/A,0:40,0:03,N/A,0:00,N/A,N/A,N/A
1.65042E+12,N/A,N/A,0:00,0:02,0:15,N/A,0:00,N/A,0:35,N/A,N/A,0:06,N/A,N/A,0:05,0:34,N/A,2:44,N/A,0:00,N/A,0:08,N/A,0:05,0:08,N/A,0:07,N/A,0:03,N/A,N/A,0:21,N/A,N/A,N/A,N/A,N/A,0:00,1:07,N/A,N/A,N/A,N/A,N/A,0:00,N/A,N/A,0:36,N/A,0:06,0:03,N/A,0:00,N/A,N/A,N/A
1.65032E+12,N/A,N/A,0:00,0:02,0:19,N/A,0:01,N/A,0:37,N/A,N/A,1:05,N/A,N/A,0:00,0:40,N/A,2:48,N/A,0:02,N/A,0:08,N/A,0:05,0:06,N/A,0:13,N/A,0:03,N/A,N/A,0:21,N/A,N/A,N/A,N/A,N/A,0:00,1:05,N/A,N/A,N/A,N/A,N/A,0:00,N/A,N/A,0:36,N/A,0:10,0:02,N/A,0:00,N/A,N/A,N/A
1.65162E+12,N/A,N/A,0:00,0:01,0:15,N/A,0:01,N/A,0:34,N/A,N/A,0:08,N/A,N/A,0:00,0:34,N/A,2:44,N/A,0:00,N/A,0:08,N/A,0:05,0:08,N/A,0:07,N/A,0:04,N/A,N/A,0:18,N/A,N/A,N/A,N/A,N/A,0:00,2:35,N/A,N/A,N/A,N/A,N/A,0:01,N/A,N/A,0:36,N/A,0:06,0:03,N/A,0:00,N/A,N/A,N/A
