Serial Number,VI1→Next Station,VI1→Next (hours),Upgrade→BBD/ASSY1 Station,Upgrade→BBD/ASSY1 (hours),BBD/ASSY1→Next Station,BBD/ASSY1→FLA/CHIFLASH (hours),Packing→Shipping (hours),Missing Stations
1655122005277,Disassembly,20.58,BBD,0.3,CHIFLASH,0.19,2.26,
1651823007950,Disassembly,20.31,BBD,0.28,CHIFLASH,1.83,2.24,
1651623017429,Disassembly,21.27,BBD,1.53,CHIFLASH,0.71,2.23,
1650323006159,Disassembly,21.6,BBD,0.58,CHIFLASH,0.75,2.27,
1655022002131,Disassembly,20.47,BBD,0.16,CHIFLASH,4.07,2.18,
1651323003116,Disassembly,17.57,BBD,0.18,CHIFLASH,2.24,2.3,
1651223019376,Disassembly,15.94,BBD,0.98,CHIFLASH,0.75,2.18,
1650423004473,Disassembly,22.02,BBD,0.77,CHIFLASH,0.4,2.3,
1650323000694,Disassembly,18.52,BBD,1.2,CHIFLASH,1.18,2.19,
1651623019576,Disassembly,20.4,BBD,1.25,CHIFLASH,0.87,2.29,
1655222010332,Disassembly,18.62,BBD,0.28,CHIFLASH,2.67,2.2,
1651823105681,Disassembly,18.8,BBD,0.14,CHIFLASH,5.69,1.45,
1651823007796,Disassembly,18.87,BBD,0.59,CHIFLASH,6.24,2.31,
1651223023694,Disassembly,23.21,BBD,0.7,CHIFLASH,0.36,2.26,
1655122003278,Disassembly,21.88,BBD,0.82,CHIFLASH,0.82,2.24,
1652323052545,Disassembly,22.68,BBD,0.57,CHIFLASH,1.13,2.25,
1650423004671,Disassembly,21.34,BBD,0.57,CHIFLASH,0.82,1.5,
1655022002126,Disassembly,12.99,BBD,1.74,CHIFLASH,3.22,1.51,
1652923024967,Disassembly,2.34,BBD,0.46,CHIFLASH,0.58,16.29,
1652323050086,Disassembly,5.19,BBD,0.51,CHIFLASH,1.5,16.55,
1651823102466,Disassembly,3.49,BBD,0.1,CHIFLASH,2.12,25.75,
1654423032015,Disassembly,2.77,BBD,0.25,CHIFLASH,1.56,16.3,
1651523003259,Disassembly,3.06,BBD,0.05,CHIFLASH,0.32,18.12,
1651323008660,Disassembly,3.01,BBD,0.02,CHIFLASH,1.97,25.76,
1651323004676,Disassembly,3.42,BBD,0.85,CHIFLASH,1.45,25.94,
1650723003049,Disassembly,4.66,BBD,3.1,CHIFLASH,0.45,15.36,
1653823013399,Disassembly,3.26,BBD,0.09,CHIFLASH,0.92,18.07,
1651323001214,Disassembly,1.85,BBD,0.02,CHIFLASH,2.62,16.29,
1650923016253,Disassembly,1.62,BBD,0.11,CHIFLASH,2.04,16.31,
1650723007330,Disassembly,4.71,BBD,0.46,CHIFLASH,0.49,25.94,
1652823054774,Disassembly,5.96,BBD,0.13,CHIFLASH,1.89,18.01,
1651823105915,Disassembly,2.98,BBD,1.83,CHIFLASH,0.54,25.97,
1651623015688,Disassembly,2.87,BBD,0.81,CHIFLASH,1.01,17.98,
1650723008080,Disassembly,5.38,BBD,0.26,CHIFLASH,0.19,0.01,
1650723006379,Disassembly,5.52,BBD,0.24,CHIFLASH,1.38,19.42,
1650723000123,Disassembly,3.85,BBD,0.1,CHIFLASH,1.31,18.1,
1650323006190,Disassembly,2.48,BBD,0.05,CHIFLASH,1.41,27.07,
1652823038536,Disassembly,1.85,BBD,1.21,CHIFLASH,3.45,33.66,
1654423082484,Disassembly,3.13,BBD,2.84,CHIFLASH,3.05,33.97,
1654423005745,Disassembly,88.7,BBD,1.33,CHIFLASH,1.31,27.19,
1651623000066,Disassembly,3.84,BBD,1.69,CHIFLASH,3.42,35.82,
1654923015663,Disassembly,88.51,BBD,0.07,CHIFLASH,1.04,18.05,
